tahun,provinsi,pengangguran,ump,lpengangguran,lump
2018,Jawa Barat ,1884554,1544361,14.449202,14.250121
2019,Jawa Barat ,1867565,1668373,14.440146,14.327359
2020,Jawa Barat ,1889925,1810351,14.452047,14.409031
2008,Jawa Tengah ,1234645,547000,14.026294,13.212204
2009,Jawa Tengah ,1208671,575000,14.005032,13.262125
2010,Jawa Tengah ,1174897,660000,13.976691,13.399995
2011,Jawa Tengah ,1071694,675000,13.884751,13.422468
2012,Jawa Tengah ,1028504,765000,13.843616,13.547631
2013,Jawa Tengah ,963259,830000,13.778078,13.629181
2014,Jawa Tengah ,965444,910000,13.780343,13.7212
2015,Jawa Tengah ,970617,910000,13.785687,13.7212
2018,Jawa Tengah ,772048,1486065,13.556802,14.211642
2019,Jawa Tengah ,785031,1605396,13.573479,14.288881
2020,Jawa Tengah ,795346,1742015,13.586533,14.370553
2008,Jawa Timur ,1255885,500000,14.043351,13.122363
2009,Jawa Timur ,1193552,570000,13.992444,13.253391
2010,Jawa Timur ,1011950,630000,13.82739,13.353476
2011,Jawa Timur ,860479,705000,13.665244,13.465953
2012,Jawa Timur ,833109,745000,13.632919,13.521139
2013,Jawa Timur ,810662,866250,13.605606,13.671928
2014,Jawa Timur ,832385,1000000,13.632051,13.815511
2015,Jawa Timur ,892015,1000000,13.701239,13.815511
2018,Jawa Timur ,807039,1508895,13.601128,14.226888
2019,Jawa Timur ,827682,1630059,13.626385,14.304127
2020,Jawa Timur ,811324,1768777,13.606422,14.385798
2008,Kalimantan Barat ,140561,645000,11.853396,13.377006
2009,Kalimantan Barat ,127186,705000,11.753406,13.465953
2010,Kalimantan Barat ,125188,741000,11.737572,13.515756
2011,Kalimantan Barat ,120242,802500,11.697262,13.595488
2012,Kalimantan Barat ,79854,900000,11.287955,13.71015
2013,Kalimantan Barat ,73226,1060000,11.201305,13.873779
2014,Kalimantan Barat ,59884,1380000,11.000165,14.137594
2015,Kalimantan Barat ,113197,1560000,11.636885,14.260197
2016,Kalimantan Barat ,110750,1739400,11.61503,14.369051
2018,Kalimantan Barat ,108063,2046900,11.590469,14.531837
2019,Kalimantan Barat ,107633,2211500,11.586483,14.609181
2020,Kalimantan Barat ,118533,2399699,11.682946,14.690854
2008,Kalimantan Selatan ,118374,825000,11.681604,13.623138
2009,Kalimantan Selatan ,118406,930000,11.681874,13.74294
2010,Kalimantan Selatan ,108745,1024500,11.596761,13.839715
2011,Kalimantan Selatan ,105850,1126000,11.569778,13.934182
